Campus,StudyField,Branch,Role,EduLevel,ProgLang,Databases,Platform,WebFramework,Industry,AISearch,AITool,Employment
Pretoria Campus,CS,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Cloudflare;Linode,ASP.NET;ASP.NET CORE;jQuery,Wholesale,ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify,"Employed, full-time"
Pretoria Campus,CS,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,now Akamai,ASP.NET;ASP.NET CORE;jQuery,Wholesale,ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify,"Employed, full-time"
Tyger Valley Campus,Information Technology,"I used to be a developer by profession, but no longer am","Developer, full-stack","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Perl,SQL,Digital Ocean,Vue.js,Other,Bing AI;ChatGPT;Google Bard AI,Synk Code;Tabnine,"Independent contractor, freelancer, or self-employed;Employed, part-time"
Nelson Mandela Bay Campus,CS,I am a developer by profession,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Groovy;Java;Kotlin,BigQuery;MongoDB,Google Cloud,Spring Boot,Advertising Services,Unknown,Codeium;Replit Ghostwriter,"Employed, full-time"
Pretoria Campus,Information Technology,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Student,"Associate degree (A.A., A.S., etc.)",Python,SQL,Amazon Web Services (AWS);Google Cloud;VMware,ASP.NET;ASP.NET CORE;jQuery,Financial Services,ChatGPT;Google Bard AI,Adrenaline;Tabnine,"Not employed, but looking for work"
Midrand Campus,CS,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Google Cloud;Heroku;Linode,Ruby on Rails,"Information Services, IT, Software Development, or other Technology",Unknown,Adrenaline;GitHub Copilot;Rubber Duck.AI;Tabnine,"Employed, full-time"
Midrand Campus,CS,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,now Akamai;Render,Ruby on Rails,"Information Services, IT, Software Development, or other Technology",Unknown,Adrenaline;GitHub Copilot;Rubber Duck.AI;Tabnine,"Employed, full-time"
Durban Campus,Information Technology,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Cloudflare;Vultr,React,Insurance,Bing AI;ChatGPT,AWS CodeWhisperer;Tabnine,"Employed, full-time;Independent contractor, freelancer, or self-employed;Student, full-time;Employed, part-time"
Durban Campus,CS,I am a developer by profession,"Engineer, data","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python,SQL,Amazon Web Services (AWS);Oracle Cloud Infrastructure (OCI),Flask,Higher Education,Unknown,Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Durban Campus,CS,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Cloudflare;Google Cloud,React,"Manufacturing, Transportation, or Supply Chain",ChatGPT,Codeium;GitHub Copilot;Synk Code,"Employed, full-time"
Durban Campus,Information Technology,I am a developer by profession,"Developer, full-stack",Some college/university study without earning a degree,JavaScript,SQL,Amazon Web Services (AWS);Digital Ocean;Hetzner;Microsoft Azure;Vercel,React,Financial Services,Bing AI;ChatGPT;Google Bard AI,Adrenaline;GitHub Copilot,"Employed, full-time;Independent contractor, freelancer, or self-employed"
Midrand Campus,DS,I am a developer by profession,"Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",JavaScript,SQL,Heroku;Linode,Vue.js,Legal Services,ChatGPT,Adrenaline;AWS CodeWhisperer,"Employed, full-time"
Midrand Campus,DS,I am a developer by profession,"Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",JavaScript,SQL,now Akamai,Vue.js,Legal Services,ChatGPT,Adrenaline;AWS CodeWhisperer,"Employed, full-time"
Durban Campus,DS,I am a developer by profession,"Developer, front-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",JavaScript,Unknown,Unknown,React,Oil & Gas,ChatGPT,GitHub Copilot;Tabnine;Whispr AI,"Employed, full-time"
Nelson Mandela Bay Campus,CS,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Other (please specify):,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",JavaScript,Unknown,Unknown,Unknown,Financial Services,Bing AI;ChatGPT;Phind,Synk Code,"Employed, full-time"
Midrand Campus,Information Technology,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Unknown,React,Other,Unknown,AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter,"Employed, full-time"
Tyger Valley Campus,CS,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python,Oracle,Unknown,Unknown,"Manufacturing, Transportation, or Supply Chain",Unknown,Adrenaline,"Employed, full-time"
Pretoria Campus,Information Technology,I am a developer by profession,"Developer, desktop or enterprise applications","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",SQL,SQL,Digital Ocean,Unknown,Healthcare,Bing AI;ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot;Replit Ghostwriter;Tabnine,"Employed, full-time"
Nelson Mandela Bay Campus,CS,I code primarily as a hobby,Student,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",JavaScript,Unknown,Unknown,Node.js;Svelte,Oil & Gas,Bing AI;ChatGPT;Phind;WolframAlpha,GitHub Copilot;Rubber Duck.AI;Tabnine,"Student, full-time;Employed, part-time"
Midrand Campus,CS,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Hetzner,Vue.js,"Manufacturing, Transportation, or Supply Chain",Phind,AWS CodeWhisperer;GitHub Copilot;Tabnine;Whispr AI,"Employed, full-time"
Nelson Mandela Bay Campus,Information Technology,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python,SQL,Microsoft Azure,ASP.NET CORE;Lit,Legal Services,Unknown,Mintlify;Tabnine,"Employed, full-time"
Nelson Mandela Bay Campus,CS,I am a developer by profession,"Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Swift,Unknown,Unknown,Unknown,Other,Bing AI;ChatGPT,Codeium;GitHub Copilot;Synk Code,"Employed, full-time;Independent contractor, freelancer, or self-employed"
Durban Campus,Information Technology,I am a developer by profession,Data scientist or machine learning specialist,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,Elasticsearch,Microsoft Azure,Unknown,Financial Services,ChatGPT,Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter,"Employed, full-time"
Midrand Campus,Information Technology,I am a developer by profession,Engineering manager,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,SQL,Amazon Web Services (AWS);Cloudflare;Vercel,React,Financial Services,ChatGPT,AWS CodeWhisperer;Replit Ghostwriter,"Employed, full-time"
Midrand Campus,CS,I am a developer by profession,"Developer, back-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Rust,SQL,Digital Ocean;Google Cloud;Oracle Cloud Infrastructure (OCI),React,"Information Services, IT, Software Development, or other Technology",Unknown,Codeium;GitHub Copilot;Tabnine,"Employed, full-time"
Nelson Mandela Bay Campus,Information Technology,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Cloudflare;Google Cloud;Microsoft Azure,ASP.NET;ASP.NET CORE;jQuery;Node.js,Legal Services,Bing AI;ChatGPT;Google Bard AI;WolframAlpha,GitHub Copilot;Replit Ghostwriter;Rubber Duck.AI;Tabnine,"Employed, full-time"
Midrand Campus,DS,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Other (please specify):,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python,SQL,Unknown,Unknown,Insurance,Unknown,AWS CodeWhisperer;Codeium;GitHub Copilot;Synk Code;Tabnine,"Independent contractor, freelancer, or self-employed;Not employed, but looking for work;Student, part-time"
Durban Campus,CS,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Google Cloud,Spring Boot,Financial Services,Unknown,AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Tabnine;Whispr AI,"Employed, full-time"
Tyger Valley Campus,CS,I code primarily as a hobby,"Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",JavaScript,SQL,Unknown,Flask,Legal Services,ChatGPT;WolframAlpha,AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Tabnine,"Not employed, but looking for work;Student, full-time"
Nelson Mandela Bay Campus,DS,I am a developer by profession,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,Unknown,Unknown,Unknown,Oil & Gas,Bing AI,AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine;Whispr AI,"Employed, full-time"
Durban Campus,Information Technology,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Digital Ocean;Linode,Vue.js,"Manufacturing, Transportation, or Supply Chain",ChatGPT,AWS CodeWhisperer;Rubber Duck.AI,"Independent contractor, freelancer, or self-employed"
Durban Campus,Information Technology,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,now Akamai;Vultr,Vue.js,"Manufacturing, Transportation, or Supply Chain",ChatGPT,AWS CodeWhisperer;Rubber Duck.AI,"Independent contractor, freelancer, or self-employed"
Tyger Valley Campus,DS,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,SQL,Amazon Web Services (AWS);OVH,Angular,Legal Services,Unknown,AWS CodeWhisperer;Synk Code;Whispr AI,"Independent contractor, freelancer, or self-employed"
Nelson Mandela Bay Campus,CS,I am a developer by profession,Engineering manager,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,SQL,Amazon Web Services (AWS),Flask,"Information Services, IT, Software Development, or other Technology",Unknown,Rubber Duck.AI;Tabnine,"Employed, full-time"
Midrand Campus,DS,I am a developer by profession,Security professional,Something else,JavaScript,SQL,Amazon Web Services (AWS);Digital Ocean;Microsoft Azure,Angular,Legal Services,Unknown,AWS CodeWhisperer;Codeium;GitHub Copilot;Synk Code;Tabnine,"Employed, full-time;Independent contractor, freelancer, or self-employed"
Pretoria Campus,CS,I am a developer by profession,"Developer, embedded applications or devices","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,Unknown,Google Cloud,jQuery,Legal Services,ChatGPT;WolframAlpha,GitHub Copilot,"Employed, full-time"
Pretoria Campus,Information Technology,I am a developer by profession,Blockchain,"Associate degree (A.A., A.S., etc.)",Python,SQL,Netlify;Render;Vercel,React,Advertising Services,ChatGPT,Adrenaline;Synk Code;Whispr AI,"Employed, full-time;Student, full-time"
Durban Campus,CS,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python,SQL,Amazon Web Services (AWS);Cloudflare,React,"Manufacturing, Transportation, or Supply Chain",Unknown,AWS CodeWhisperer;Synk Code,"Employed, full-time"
Midrand Campus,Information Technology,I am a developer by profession,DevOps specialist,Some college/university study without earning a degree,JavaScript,SQL,Amazon Web Services (AWS);Google Cloud;Microsoft Azure;VMware,Angular,Insurance,Unknown,AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine,"Employed, full-time"
Nelson Mandela Bay Campus,DS,I am a developer by profession,"Developer, embedded applications or devices","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",SQL,SQL,Unknown,Unknown,Legal Services,Unknown,Mintlify;Synk Code,"Employed, full-time"
Durban Campus,CS,I am a developer by profession,DevOps specialist,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python,SQL,Microsoft Azure,FastAPI,Legal Services,Unknown,Adrenaline;GitHub Copilot;Rubber Duck.AI,"Employed, full-time"
Tyger Valley Campus,Information Technology,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Senior Executive (C-Suite, VP, etc.)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Fly.io;Google Cloud,React,"Information Services, IT, Software Development, or other Technology",ChatGPT;Perplexity AI;Phind,Synk Code,"Independent contractor, freelancer, or self-employed"
Midrand Campus,Information Technology,I am a developer by profession,Educator,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Heroku;Netlify;OpenStack;VMware,Vue.js,Wholesale,ChatGPT;WolframAlpha,GitHub Copilot;Replit Ghostwriter;Tabnine,"Independent contractor, freelancer, or self-employed;Student, full-time"
Midrand Campus,CS,I am a developer by profession,Developer Advocate,"Associate degree (A.A., A.S., etc.)",Ruby,SQL,Amazon Web Services (AWS),Ruby on Rails,Financial Services,Bing AI;ChatGPT,AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter,"Employed, full-time"
Durban Campus,CS,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,SQL,Amazon Web Services (AWS);Google Cloud;Oracle Cloud Infrastructure (OCI),Vue.js,Other,Unknown,Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Whispr AI,"Employed, full-time"
Tyger Valley Campus,Information Technology,I am a developer by profession,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,SQL,Amazon Web Services (AWS);OpenStack;OVH,Vue.js,Financial Services,Unknown,Adrenaline;GitHub Copilot;Rubber Duck.AI,"Employed, full-time"
Durban Campus,CS,I am a developer by profession,"Developer, full-stack",Some college/university study without earning a degree,JavaScript,SQL,Digital Ocean;Microsoft Azure,ASP.NET CORE;Blazor,Higher Education,Bing AI;ChatGPT,AWS CodeWhisperer;Codeium;Tabnine;Whispr AI,"Employed, full-time"
Durban Campus,CS,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Java,MongoDB;Redis,Amazon Web Services (AWS),Spring Boot,Wholesale,Unknown,Codeium;Tabnine,"Employed, full-time"
Durban Campus,DS,I am a developer by profession,"Developer, front-end",Some college/university study without earning a degree,JavaScript,Unknown,Amazon Web Services (AWS);Cloudflare;Netlify;Vercel,React,"Manufacturing, Transportation, or Supply Chain",Unknown,Adrenaline;AWS CodeWhisperer;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI,"Employed, part-time"
Nelson Mandela Bay Campus,Information Technology,I am a developer by profession,"Developer, back-end",Primary/elementary school,JavaScript,MariaDB;MongoDB,Amazon Web Services (AWS);Cloudflare;Hetzner,Vue.js,Retail and Consumer Services,Bing AI;ChatGPT,AWS CodeWhisperer;GitHub Copilot;Synk Code,"Employed, full-time"
Nelson Mandela Bay Campus,CS,I am a developer by profession,"Developer, desktop or enterprise applications",Some college/university study without earning a degree,C++,Unknown,Unknown,Unknown,Wholesale,Unknown,AWS CodeWhisperer;GitHub Copilot;Mintlify;Tabnine,"Employed, full-time"
Pretoria Campus,DS,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Heroku;Netlify,React,Legal Services,ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot;Tabnine,"Not employed, but looking for work"
Pretoria Campus,Information Technology,I code primarily as a hobby,"Developer, full-stack",Primary/elementary school,JavaScript,SQL,Firebase;Google Cloud;Heroku;Linode,React,Other,ChatGPT,GitHub Copilot;Replit Ghostwriter;Rubber Duck.AI;Tabnine,"Independent contractor, freelancer, or self-employed;Student, full-time;Not employed, and not looking for work"
Pretoria Campus,Information Technology,I code primarily as a hobby,"Developer, full-stack",Primary/elementary school,JavaScript,SQL,now Akamai;Netlify;Vercel,React,Other,ChatGPT,GitHub Copilot;Replit Ghostwriter;Rubber Duck.AI;Tabnine,"Independent contractor, freelancer, or self-employed;Student, full-time;Not employed, and not looking for work"
Nelson Mandela Bay Campus,CS,I am a developer by profession,"Developer, front-end","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",JavaScript,SQL,Amazon Web Services (AWS);Cloudflare;Firebase;Google Cloud;Netlify;Vercel,React,Healthcare,ChatGPT,GitHub Copilot;Tabnine,"Employed, full-time"
Durban Campus,Information Technology,I am a developer by profession,"Developer, embedded applications or devices","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C++,Unknown,Amazon Web Services (AWS),Unknown,"Information Services, IT, Software Development, or other Technology",ChatGPT,Synk Code;Tabnine,"Employed, full-time"
Durban Campus,DS,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,SQL,Amazon Web Services (AWS);Google Cloud,React,Wholesale,Unknown,AWS CodeWhisperer;GitHub Copilot,"Employed, full-time"
Durban Campus,Information Technology,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python,SQL,Cloudflare;Hetzner,Fastify;Remix,Higher Education,ChatGPT,Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Whispr AI,"Independent contractor, freelancer, or self-employed"
Nelson Mandela Bay Campus,Information Technology,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Microsoft Azure,ASP.NET;ASP.NET CORE,Insurance,ChatGPT,AWS CodeWhisperer;Tabnine,"Employed, full-time"
Tyger Valley Campus,Information Technology,I am a developer by profession,"Developer, embedded applications or devices","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python,Unknown,Unknown,Unknown,Insurance,Unknown,AWS CodeWhisperer;GitHub Copilot;Mintlify,"Independent contractor, freelancer, or self-employed"
Pretoria Campus,DS,I am a developer by profession,"Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python,SQL,Microsoft Azure,Unknown,Legal Services,ChatGPT;Google Bard AI,AWS CodeWhisperer;Codeium;GitHub Copilot;Synk Code;Tabnine,"Employed, full-time"
Nelson Mandela Bay Campus,DS,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,H2;Oracle,Amazon Web Services (AWS);Oracle Cloud Infrastructure (OCI),Angular,Advertising Services,ChatGPT,Adrenaline;GitHub Copilot,"Employed, full-time"
Durban Campus,DS,I am a developer by profession,Engineering manager,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Cloudflare;Heroku,React,"Manufacturing, Transportation, or Supply Chain",ChatGPT,AWS CodeWhisperer;Synk Code;Whispr AI,"Employed, full-time"
Midrand Campus,DS,"I used to be a developer by profession, but no longer am",Other (please specify):,Some college/university study without earning a degree,Python,SQL,Amazon Web Services (AWS),Flask,"Manufacturing, Transportation, or Supply Chain",WolframAlpha,GitHub Copilot;Replit Ghostwriter;Whispr AI,"Employed, part-time"
Durban Campus,DS,I am a developer by profession,"Developer, back-end",Some college/university study without earning a degree,JavaScript,SQL,Google Cloud;Heroku,Angular,Healthcare,ChatGPT,Adrenaline;Tabnine,"Employed, full-time;Independent contractor, freelancer, or self-employed"
Tyger Valley Campus,Information Technology,I am a developer by profession,Engineering manager,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Cloudflare;Firebase;Netlify;Vercel,React,Advertising Services,ChatGPT,AWS CodeWhisperer;Codeium;Tabnine,"Employed, full-time"
Nelson Mandela Bay Campus,DS,I am a developer by profession,"Developer, embedded applications or devices","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,Unknown,Unknown,Unknown,Healthcare,Unknown,Codeium;Replit Ghostwriter,"Employed, full-time"
Durban Campus,DS,I am a developer by profession,"Developer, full-stack",Some college/university study without earning a degree,JavaScript,SQL,Heroku;Microsoft Azure;Netlify,React,Wholesale,ChatGPT;You.com,AWS CodeWhisperer;Codeium;Tabnine;Whispr AI,"Employed, full-time;Student, part-time"
Nelson Mandela Bay Campus,Information Technology,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Senior Executive (C-Suite, VP, etc.)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Cloudflare,Angular,Advertising Services,ChatGPT;WolframAlpha,Adrenaline,"Employed, full-time"
Pretoria Campus,Information Technology,I am a developer by profession,"Developer, back-end",Some college/university study without earning a degree,JavaScript,SQL,Heroku;Netlify;Render;Vercel,React,Legal Services,ChatGPT,AWS CodeWhisperer;GitHub Copilot;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Durban Campus,Information Technology,I am a developer by profession,"Developer, full-stack","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",JavaScript,MongoDB;Redis,Google Cloud,Vue.js,Other,ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot;Synk Code;Tabnine,"Employed, full-time"
Midrand Campus,Information Technology,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS),Node.js;Spring Boot,Advertising Services,Unknown,AWS CodeWhisperer;Codeium;Tabnine;Whispr AI,"Employed, full-time"
Pretoria Campus,CS,"I am not primarily a developer, but I write code sometimes as part of my work/studies",System administrator,Some college/university study without earning a degree,JavaScript,SQL,Amazon Web Services (AWS);Cloudflare,Vue.js,Retail and Consumer Services,Unknown,Adrenaline;Mintlify,"Independent contractor, freelancer, or self-employed"
Durban Campus,DS,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Engineering manager,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS),Angular,Wholesale,Unknown,Mintlify;Synk Code,"Employed, full-time"
Nelson Mandela Bay Campus,CS,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Microsoft Azure,FastAPI,Financial Services,ChatGPT,Whispr AI,"Employed, part-time"
Durban Campus,CS,I am a developer by profession,"Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,Dynamodb,Amazon Web Services (AWS),Angular,Other,ChatGPT,GitHub Copilot;Rubber Duck.AI,"Employed, full-time"
Pretoria Campus,Information Technology,I am a developer by profession,"Developer, desktop or enterprise applications","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Python,Oracle,Unknown,Unknown,"Information Services, IT, Software Development, or other Technology",Unknown,Adrenaline;GitHub Copilot;Tabnine,"Employed, full-time"
Tyger Valley Campus,CS,"I used to be a developer by profession, but no longer am",Other (please specify):,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Swift,SQL,Amazon Web Services (AWS),Unknown,"Manufacturing, Transportation, or Supply Chain",ChatGPT,GitHub Copilot;Replit Ghostwriter;Rubber Duck.AI;Tabnine,"Employed, full-time"
Pretoria Campus,Information Technology,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python,Dynamodb,Amazon Web Services (AWS),Unknown,Retail and Consumer Services,Unknown,Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Whispr AI,"Employed, full-time"
Nelson Mandela Bay Campus,CS,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Unknown,React,"Information Services, IT, Software Development, or other Technology",Unknown,AWS CodeWhisperer,"Employed, full-time"
Durban Campus,CS,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Hardware Engineer,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python,Unknown,Unknown,Unknown,Other,ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot,"Employed, full-time"
Nelson Mandela Bay Campus,Information Technology,I am a developer by profession,"Developer, back-end",Some college/university study without earning a degree,JavaScript,SQL,Amazon Web Services (AWS);Cloudflare;Google Cloud;Microsoft Azure;VMware,Angular,Retail and Consumer Services,ChatGPT;Google Bard AI;WolframAlpha,Adrenaline;AWS CodeWhisperer;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI,"Employed, full-time;Independent contractor, freelancer, or self-employed"
Durban Campus,Information Technology,I am a developer by profession,Student,Primary/elementary school,JavaScript,SQL,Unknown,React,Retail and Consumer Services,ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Tabnine;Whispr AI,"Not employed, but looking for work;Student, full-time"
Durban Campus,DS,I am a developer by profession,"Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,Unknown,Digital Ocean;Heroku,React,"Information Services, IT, Software Development, or other Technology",Unknown,GitHub Copilot;Tabnine,"Employed, full-time"
Durban Campus,Information Technology,I am a developer by profession,Student,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Unknown,Unknown,Unknown,Unknown,Financial Services,Unknown,GitHub Copilot;Replit Ghostwriter;Whispr AI,"Student, full-time;Employed, part-time"
Tyger Valley Campus,Information Technology,I am a developer by profession,Engineering manager,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,SQL,Google Cloud,Unknown,Advertising Services,Unknown,Adrenaline;AWS CodeWhisperer,"Employed, full-time"
Nelson Mandela Bay Campus,Information Technology,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Digital Ocean;Managed Hosting,React,Retail and Consumer Services,WolframAlpha,Codeium;Synk Code;Whispr AI,"Employed, full-time"
Midrand Campus,Information Technology,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,SQL,Microsoft Azure,React,Advertising Services,Unknown,Adrenaline;GitHub Copilot;Rubber Duck.AI,"Employed, full-time"
Pretoria Campus,Information Technology,I am a developer by profession,Cloud infrastructure engineer,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,BigQuery;Cloud Firestore,Google Cloud;Microsoft Azure,Unknown,Healthcare,Unknown,Adrenaline;AWS CodeWhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Durban Campus,DS,I am a developer by profession,"Developer, embedded applications or devices","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Microsoft Azure,WordPress,Insurance,Bing AI,Adrenaline;AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Durban Campus,Information Technology,I am a developer by profession,"Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",JavaScript,Unknown,Amazon Web Services (AWS);Linode,React,Higher Education,Unknown,Replit Ghostwriter;Tabnine,"Employed, full-time;Independent contractor, freelancer, or self-employed"
Durban Campus,Information Technology,I am a developer by profession,"Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",JavaScript,Unknown,now Akamai;VMware,React,Higher Education,Unknown,Replit Ghostwriter;Tabnine,"Employed, full-time;Independent contractor, freelancer, or self-employed"
