Campus,StudyField,Branch,Role,EduLevel,ProgLang,Databases,Platform,WebFramework,Industry,AISearch,AITool,Employment
Durban Campus,DS,I am a developer by profession,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,SQL,Amazon Web Services (AWS);Digital Ocean;Firebase;Heroku;Oracle Cloud Infrastructure (OCI),React,Oil & Gas,Unknown,AWS CodeWhisperer;GitHub Copilot;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Midrand Campus,DS,I am a developer by profession,"Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C#;PowerShell;Visual Basic (.Net),SQL,Netlify;Vercel,React,"Information Services, IT, Software Development, or other Technology",Unknown,Adrenaline;GitHub Copilot;Rubber Duck.AI;Tabnine,"Employed, full-time"
Durban Campus,DS,"I used to be a developer by profession, but no longer am","Developer, game or graphics","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,Unknown,Unknown,Unknown,Healthcare,Unknown,Tabnine,"Independent contractor, freelancer, or self-employed"
Durban Campus,CS,I am a developer by profession,"Engineer, data","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,Microsoft Access,VMware,Unknown,Advertising Services,ChatGPT,AWS CodeWhisperer;Mintlify,"Employed, full-time"
Durban Campus,CS,I am a developer by profession,"Senior Executive (C-Suite, VP, etc.)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,SQL,Digital Ocean;Microsoft Azure,Angular,Insurance,Bing AI;ChatGPT,Adrenaline;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Midrand Campus,CS,I code primarily as a hobby,Student,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Python,SQL,Amazon Web Services (AWS),Node.js;WordPress,Retail and Consumer Services,ChatGPT,GitHub Copilot;Synk Code;Whispr AI,"Independent contractor, freelancer, or self-employed"
Durban Campus,Information Technology,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Data or business analyst,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python,BigQuery;Snowflake,Unknown,Unknown,Wholesale,ChatGPT;Google Bard AI,Adrenaline;GitHub Copilot,"Employed, full-time"
Durban Campus,CS,I am a developer by profession,"Developer, full-stack",Something else,HTML/CSS,SQL,Microsoft Azure,ASP.NET CORE,Other,Unknown,Codeium;Tabnine,"Independent contractor, freelancer, or self-employed"
Midrand Campus,DS,"I am not primarily a developer, but I write code sometimes as part of my work/studies",System administrator,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Python,SQL,VMware,ASP.NET CORE;WordPress,Wholesale,WolframAlpha,Codeium;Replit Ghostwriter,"Employed, part-time"
Tyger Valley Campus,DS,I am a developer by profession,"Developer, full-stack",Some college/university study without earning a degree,JavaScript,SQL,Cloudflare,Angular,Insurance,Unknown,AWS CodeWhisperer;Tabnine,"Independent contractor, freelancer, or self-employed"
Tyger Valley Campus,DS,I am a developer by profession,"Developer, QA or test",Primary/elementary school,JavaScript,SQL,Colocation;Hetzner,React,Retail and Consumer Services,Unknown,AWS CodeWhisperer;Replit Ghostwriter,"Employed, full-time"
Tyger Valley Campus,Information Technology,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,SQL,Amazon Web Services (AWS);Digital Ocean;Heroku;Microsoft Azure;Netlify;Vercel;Vultr,React,Higher Education,Unknown,Adrenaline;AWS CodeWhisperer;GitHub Copilot,"Employed, full-time;Independent contractor, freelancer, or self-employed"
Durban Campus,Information Technology,I am a developer by profession,"Developer, back-end",Something else,Java,SQL,Amazon Web Services (AWS),React,Wholesale,Unknown,Adrenaline;Codeium;GitHub Copilot,"Independent contractor, freelancer, or self-employed"
Nelson Mandela Bay Campus,DS,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Digital Ocean;Google Cloud;Netlify;Vercel,Express;Node.js,Other,ChatGPT,Mintlify,"Employed, full-time;Independent contractor, freelancer, or self-employed"
Nelson Mandela Bay Campus,Information Technology,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,SQL,Microsoft Azure,React,"Manufacturing, Transportation, or Supply Chain",ChatGPT,AWS CodeWhisperer;GitHub Copilot;Synk Code;Tabnine;Whispr AI,"Employed, part-time"
Pretoria Campus,Information Technology,I am a developer by profession,Engineering manager,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Amazon Web Services (AWS);Cloudflare;Microsoft Azure,React,Healthcare,Bing AI;ChatGPT;Phind,AWS CodeWhisperer;Synk Code,"Employed, full-time;Independent contractor, freelancer, or self-employed"
Durban Campus,Information Technology,I am a developer by profession,"Developer, full-stack","Associate degree (A.A., A.S., etc.)",JavaScript,SQL,Unknown,ASP.NET CORE,Oil & Gas,Unknown,Mintlify,"Employed, full-time"
Midrand Campus,DS,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,SQL,Unknown,React,"Information Services, IT, Software Development, or other Technology",Unknown,Adrenaline;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
Midrand Campus,CS,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Microsoft Azure,Angular,"Information Services, IT, Software Development, or other Technology",Unknown,GitHub Copilot;Mintlify,"Employed, full-time"
Pretoria Campus,DS,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Project manager,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript,SQL,Digital Ocean;Microsoft Azure,Node.js,Financial Services,Unknown,Mintlify,"Employed, full-time"
Durban Campus,CS,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Cloud infrastructure engineer,Primary/elementary school,JavaScript,SQL,Hetzner,Angular,Advertising Services,Unknown,Adrenaline;GitHub Copilot;Rubber Duck.AI;Tabnine,"Employed, full-time"
Tyger Valley Campus,Information Technology,I am a developer by profession,"Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",SQL,SQL,Firebase;Google Cloud;VMware,Unknown,Wholesale,ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Tabnine;Whispr AI,"Employed, full-time"
Midrand Campus,DS,I am a developer by profession,"Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Objective-C,SQL,Unknown,Unknown,"Manufacturing, Transportation, or Supply Chain",Unknown,AWS CodeWhisperer;GitHub Copilot;Mintlify,"Employed, full-time"
